ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,listing_type,number_rented,revenue,latitude,longitude,is_superhost,number_of_reviews,2023_price,2023_predict_price,2024_price,2024_predict_price,2025_price,2025_predict_price,2026_price,2026_predict_price
29960983,2.00,3.00,8.00,Espaço inteiro: apartamento,68,39550.00,-27.14,-48.60,False,9,581.62,584.64,603.78,606.02,627.87,631.33,652.98,660.72
20555680,1.00,1.00,1.00,Espaço inteiro: apartamento,323,39380.00,-27.10,-48.61,False,11,121.92,123.01,126.56,127.56,131.61,132.94,136.88,137.78
46675618,3.00,3.00,3.00,Espaço inteiro: apartamento,46,39350.00,-27.13,-48.60,True,3,855.43,845.33,888.03,876.79,923.46,914.09,960.40,948.33
41731457,1.00,2.60,3.00,Espaço inteiro: apartamento,336,39325.00,-27.14,-48.60,False,8,117.04,119.50,121.50,123.88,126.35,129.11,131.40,134.31
562866304058754758,3.00,3.00,7.00,Espaço inteiro: casa,65,39000.00,-27.15,-48.58,False,0,600.00,638.72,622.86,654.49,647.71,696.45,673.62,720.10
16566726,3.00,4.00,5.00,Espaço inteiro: apartamento,30,39000.00,-27.10,-48.61,False,1,1300.00,1271.92,1349.53,1323.12,1403.38,1372.06,1459.51,1431.13
699888058698446107,2.00,4.00,4.00,Espaço inteiro: apartamento,35,38850.00,-27.13,-48.60,False,0,1110.00,1098.56,1152.29,1148.48,1198.27,1184.76,1246.20,1234.70
54070429,3.00,3.00,5.00,Espaço inteiro: apartamento,57,38760.00,-27.13,-48.60,False,1,680.00,728.82,705.91,760.02,734.07,788.97,763.44,816.54
52052904,1.00,1.00,1.00,Espaço inteiro: apartamento,289,38505.00,-27.09,-48.61,False,40,133.24,131.27,138.31,135.68,143.83,141.33,149.58,146.60
54197754,2.00,2.00,3.00,Espaço inteiro: apartamento,96,38400.00,-27.10,-48.61,False,1,400.00,401.65,415.24,417.45,431.81,431.59,449.08,449.03
30564287,2.00,3.00,3.00,Espaço inteiro: apartamento,49,38400.00,-27.13,-48.60,False,0,783.67,786.76,813.53,805.85,845.99,848.37,879.83,878.69
53314692,1.00,1.00,1.00,Espaço inteiro: condomínio,39,38250.00,-27.10,-48.61,False,9,980.77,849.24,1018.14,893.52,1058.76,919.41,1101.11,963.43
18505349,2.00,3.00,4.00,Espaço inteiro: apartamento,45,38200.00,-27.11,-48.61,False,9,848.89,840.17,881.23,873.69,916.39,905.81,953.05,947.36
24171739,2.00,3.00,3.00,Espaço inteiro: apartamento,69,38188.00,-27.13,-48.60,False,10,553.45,566.04,574.54,583.42,597.46,611.31,621.36,634.84
37487828,2.00,3.00,6.00,Espaço inteiro: apartamento,95,38120.00,-27.14,-48.60,True,59,401.26,401.08,416.55,418.24,433.17,433.87,450.50,452.39
53546501,3.00,4.00,4.00,Espaço inteiro: apartamento,36,38001.00,-27.14,-48.59,False,0,1055.58,1055.48,1095.80,1097.17,1139.52,1141.84,1185.10,1192.65
41469346,4.00,4.00,5.00,Espaço inteiro: apartamento,19,38000.00,-27.13,-48.60,True,17,2000.00,1859.74,2076.20,1956.72,2159.04,2030.51,2245.40,2105.21
29370604,1.00,1.00,4.00,Espaço inteiro: apartamento,267,37903.00,-27.14,-48.60,True,3,141.96,137.85,147.37,144.64,153.25,148.54,159.38,154.08
40556586,1.00,1.00,2.00,Espaço inteiro: apartamento,183,37880.00,-27.16,-48.56,False,14,206.99,217.81,214.88,226.38,223.45,237.71,232.39,245.73
53472952,3.00,3.00,4.00,Espaço inteiro: apartamento,38,37850.00,-27.13,-48.60,False,1,996.05,965.08,1034.00,1003.75,1075.26,1045.52,1118.27,1091.94
45540748,2.00,3.00,3.00,Espaço inteiro: apartamento,46,37810.00,-27.13,-48.60,False,5,821.96,829.50,853.27,850.49,887.32,888.80,922.81,924.79
27867004,2.00,3.00,5.00,Espaço inteiro: apartamento,47,37790.00,-27.10,-48.62,True,1,804.04,793.00,834.68,825.25,867.98,856.37,902.70,893.22
53738511,1.00,2.00,3.00,Espaço inteiro: apartamento,336,37752.00,-27.14,-48.59,True,12,112.36,115.29,116.64,119.74,121.29,125.03,126.14,129.68
52561690,1.00,3.00,3.00,Espaço inteiro: condomínio,176,37513.00,-27.09,-48.61,False,7,213.14,226.89,221.26,235.29,230.09,243.33,239.29,253.65
46119574,6.00,4.00,7.00,Espaço inteiro: condomínio,15,37500.00,-27.10,-48.61,False,0,2500.00,2412.32,2595.25,2513.59,2698.80,2630.20,2806.75,2729.71
54160636,2.00,3.00,4.00,Espaço inteiro: apartamento,62,37500.00,-27.10,-48.62,False,0,604.84,611.51,627.88,642.97,652.94,662.75,679.05,690.45
51975323,3.00,3.00,5.00,Espaço inteiro: apartamento,35,37250.00,-27.14,-48.60,False,1,1064.29,1073.55,1104.84,1114.41,1148.92,1160.69,1194.87,1202.33
40093238,2.00,3.00,3.00,Espaço inteiro: apartamento,31,37200.00,-27.13,-48.60,False,1,1200.00,1143.44,1245.72,1195.46,1295.42,1239.85,1347.24,1280.69
49369605,2.00,3.00,3.72,Espaço inteiro: apartamento,196,37160.00,-27.14,-48.59,False,4,189.59,197.98,196.82,204.91,204.67,213.97,212.85,223.55
46258986,2.00,3.00,4.00,Espaço inteiro: apartamento,50,37059.00,-27.12,-48.61,False,6,741.18,722.47,769.42,751.08,800.12,781.78,832.12,811.13
12359560,3.00,3.00,4.00,Espaço inteiro: apartamento,45,37029.00,-27.14,-48.59,True,22,822.87,831.30,854.22,856.61,888.30,893.45,923.83,928.01
49337624,3.00,3.00,3.00,Espaço inteiro: apartamento,51,37000.00,-27.14,-48.60,True,5,725.49,757.16,753.13,781.95,783.18,809.13,814.51,846.93
52582961,2.00,2.00,2.00,Espaço inteiro: apartamento,30,36160.00,-27.09,-48.61,False,2,1205.33,1078.01,1251.26,1102.27,1301.18,1169.71,1353.23,1207.35
52474050,2.00,2.00,5.00,Espaço inteiro: apartamento,336,36070.00,-27.13,-48.61,True,23,107.35,110.24,111.44,113.83,115.89,118.83,120.52,123.21
710739184958846083,1.00,1.00,1.00,Quarto inteiro em apartamento,336,36025.00,-27.13,-48.60,False,0,107.22,108.57,111.30,112.53,115.74,116.68,120.37,121.75
52873987,1.00,1.00,6.00,Espaço inteiro: apartamento,90,36000.00,-27.09,-48.62,False,0,400.00,397.43,415.24,413.93,431.81,427.82,449.08,445.94
16717671,1.00,2.00,5.00,Espaço inteiro: casa,120,36000.00,-27.10,-48.62,False,0,300.00,317.20,311.43,331.20,323.86,341.33,336.81,354.84
21108789,2.00,2.00,3.00,Espaço inteiro: apartamento,90,36000.00,-27.12,-48.61,False,14,400.00,399.15,415.24,415.74,431.81,429.47,449.08,449.01
24135585,2.00,2.00,3.00,Espaço inteiro: apartamento,81,35890.00,-27.13,-48.60,False,15,443.09,457.32,459.97,475.33,478.32,492.31,497.45,513.96
558481029019897262,2.00,3.00,8.00,Espaço inteiro: casa,105,35760.00,-27.12,-48.62,False,0,340.57,345.11,353.55,358.33,367.65,371.60,382.36,387.39
31204438,1.00,2.00,3.00,Espaço inteiro: condomínio,273,35760.00,-27.09,-48.61,False,10,130.99,125.59,135.98,130.61,141.41,135.27,147.06,140.85
30334519,2.00,4.00,9.00,Espaço inteiro: casa,99,35650.00,-27.13,-48.61,False,16,360.10,361.38,373.82,377.97,388.74,391.94,404.29,406.99
