ad_id,ad_name,ad_description,number_of_bathrooms,number_of_bedrooms,number_of_beds,listing_type,average_price,number_rented,revenue,latitude,longitude
47306948,"Apartamento de Luxo, 3 suítes, vista mar, Itapema","Apartamento novo, primeiro verão! A 350m da praia. 3 suítes, 130m2, ar condicionado em todos cômodos, 3 vagas de garagem, sacada integrada com churrasqueira automatizada a carvão, lavabo, cervejeira, adega, forno, cafeteira, sanduicheira, ferro de passar, micro-ondas, chuveiros a gás, camas novas e confortáveis, banheira na suíte master. Apartamento e edifício de alto padrão, amplo e arejado. Excelente opção.",3.00,3.00,3.00,Espaço inteiro: apartamento,2400.00,219,525600.00,-27.10,-48.62
17570590,Apartamento Paradisíaco à Beira Mar,"Apartamento amplo e aconchegante, com design e arquitetura contemporâneos, com duas suítes, duas demi-suítes, e um sofá cama amplo na sala principal, à beira mar, em local paradisíaco, em Meia Praia (Itapema SC).   Ideal para quem quer curtir as suas férias, ou feriado, com a família, sem stress, com fácil acesso à praia, vista excepcional e duas vagas de garagem.",3.00,4.00,6.00,Espaço inteiro: apartamento,1040.65,488,507837.00,-27.14,-48.59
30466884,"Apto frente p o mar, em Itapema - DISPONÍVEL",nan,2.00,3.00,4.00,Espaço inteiro: apartamento,1750.00,290,507500.00,-27.11,-48.61
53911823,Apartamento de alto padrão com vista pro mar.,O grupo terá fácil acesso a tudo o que precisar neste lugar com excelente localização.,3.00,3.00,3.00,Espaço inteiro: apartamento,1367.93,368,503400.00,-27.13,-48.60
46599487,Casa com excelente localização e a 20m da praia.,"Excelente casa, com ótima localização, fica aproximadamente a 20 metros da praia, jardim, varanda, pátio privativo para três/quatro carros.  São 3 suítes, mais um quarto. Possui banheiro social e lavabo. Possui ampla sala de estar e jantar, cozinha completa, lavanderia. Há ar condicionado em todos os quartos, wi-fi, churrasqueira.  Região tranquila do Centro de Itapema, próximo a supermercados, farmácias e excelentes restaurantes. Há cama para 8 pessoas, mas possui sofá cama para mais um casal.",4.00,4.00,5.00,Espaço inteiro: casa,1253.29,395,495050.00,-27.10,-48.61
53715659,Oceano de paz e conforto à sua frente!,"Excelente apartamento frente para o mar, com 2 suítes  casal com ventilador de teto, 1 quarto solteiro com ventilador de teto e colchão extra, 1 home office com sofá cama TV e ventilador de teto, sala de estar e jantar, banheiro social e lavabo, cozinha e área de serviço equipadas. Varanda com churrasqueira a carvão e mesa para refeições e uma linda vista para o mar. 2 vagas privativas de garagem.",3.00,4.00,4.00,Espaço inteiro: condomínio,1476.42,335,494600.00,-27.14,-48.59
53592110,"Apartamento em Itapema, Meia Praia, próximo ao mar","Sua família vai estar perto de tudo ao ficar neste lugar bem-localizado. Você vai adorar estar bem próximo de todo o comércio, lojas, restaurantes, supermercados, panificadora e farmácias.  Apenas uma quadra da praia, você vai se apaixonar por uma das praias mais belas do estado de Santa Catarina.",3.00,4.00,6.00,Espaço inteiro: apartamento,1200.00,410,492000.00,-27.12,-48.61
726017872029452104,"Ótimo Apartamento, último andar com 03 Suítes.","Você e sua família ficaram tranquilos nesta apto, último andar e muito bem-localizado, 90 m da praia e próximo ao centro, com uma vista maravilhosa frente para o mar e fundos para a serra, 02 vagas de garagem (lado a lado), ar condicionado, 02 geladeiras, microondas, maq de lavar, forno, churraqueira e terraço amplo, 02 apto por andar, 03 suítes e banheiro social, tv, internet, aparelho de som etc...",3.00,3.00,6.00,Espaço inteiro: apartamento,1300.00,368,478400.00,-27.10,-48.61
41266951,502- Imperdível- vista pro mar-Rua 265-Meia praia,"Para amar: excelente apartamento com vista para o mar.  Tres suites e tres garagens. Ar condicionado e Tv  nas suítes Lavabo Cozinha completa  com cooktop e exaustor, forno elétrico, geladeira biplex,  microondas, liquidificador, chaleira, sanduicheira e utensilios domesticos.  Maquina de  lavar roupas. Sacada fechada com linda vista do mar com churrasqueira a carvão com espetos e grelha.  Garagem para tres carros. Roupas de cama e toalhas podem ser alugados :R$400,00",3.00,3.00,4.00,Espaço inteiro: apartamento,1582.12,302,477800.00,-27.13,-48.60
53698305,Excelente apartamento a 150m da praia,"Apartamento alto padrão localizado a 150m da praia, super confortável para quem quer férias com sossego em Meia Praia. 🏖🌊☀️",4.00,4.00,5.00,Espaço inteiro: apartamento,1500.00,318,477000.00,-27.12,-48.61
